,season,week,code,name,unique_id,weekly_points,weekly_rank,weekly_percentile,seasonal_cumulative_points,seasonal_points,seasonal_rank,seasonal_percentile,all_time_cumulative_points
82505,2019,8,6032a90d,Robert Greer,@greereNFL,183.0,2592.0,48.0,420.8,785.2,382,97,420.8
85893,2019,9,6032a90d,Robert Greer,@greereNFL,93.7,206.0,96.0,514.5,785.2,382,97,514.5
89281,2019,10,6032a90d,Robert Greer,@greereNFL,-49.0,515.0,89.0,465.5,785.2,382,97,465.5
92669,2019,11,6032a90d,Robert Greer,@greereNFL,99.9,3564.0,24.0,565.4,785.2,382,97,565.4
96057,2019,12,6032a90d,Robert Greer,@greereNFL,103.6,1604.0,65.0,669.0,785.2,382,97,669.0
99445,2019,13,6032a90d,Robert Greer,@greereNFL,-67.1,2479.0,41.0,601.9,785.2,382,97,601.9
102833,2019,14,6032a90d,Robert Greer,@greereNFL,77.6,1525.0,65.0,679.5,785.2,382,97,679.5
106221,2019,15,6032a90d,Robert Greer,@greereNFL,60.4,1704.0,59.0,739.9,785.2,382,97,739.9
109609,2019,16,6032a90d,Robert Greer,@greereNFL,19.3,2530.0,32.0,759.1999999999999,785.2,382,97,759.1999999999999
112997,2019,17,6032a90d,Robert Greer,@greereNFL,54.8,272.0,91.0,813.9999999999999,785.2,382,97,813.9999999999999
116385,2019,18,6032a90d,Robert Greer,@greereNFL,-28.8,1612.0,63.0,785.1999999999999,785.2,382,97,785.1999999999999
